Epoch: [0][0/308], lr: 0.00010	Time 29.684 (29.684)	Data 19.296 (19.296)	Loss 2.4916 (2.4916)	Prec@1 20.000 (20.000)	Prec@5 60.000 (60.000)
Epoch: [0][20/308], lr: 0.00010	Time 0.177 (1.578)	Data 0.000 (0.919)	Loss 1.4730 (1.9334)	Prec@1 40.000 (40.000)	Prec@5 100.000 (87.619)
Epoch: [0][40/308], lr: 0.00010	Time 0.175 (0.895)	Data 0.000 (0.471)	Loss 1.9379 (1.7377)	Prec@1 40.000 (41.951)	Prec@5 80.000 (86.829)
Epoch: [0][60/308], lr: 0.00010	Time 0.186 (0.660)	Data 0.000 (0.316)	Loss 0.4401 (1.5668)	Prec@1 80.000 (48.197)	Prec@5 100.000 (87.869)
Epoch: [0][80/308], lr: 0.00010	Time 0.178 (0.541)	Data 0.000 (0.238)	Loss 1.6908 (1.5730)	Prec@1 60.000 (48.148)	Prec@5 80.000 (87.654)
Epoch: [0][100/308], lr: 0.00010	Time 0.183 (0.470)	Data 0.000 (0.191)	Loss 0.7652 (1.5413)	Prec@1 60.000 (49.109)	Prec@5 100.000 (88.515)
Epoch: [0][120/308], lr: 0.00010	Time 0.178 (0.421)	Data 0.000 (0.160)	Loss 0.5154 (1.4798)	Prec@1 100.000 (50.413)	Prec@5 100.000 (89.587)
Epoch: [0][140/308], lr: 0.00010	Time 0.177 (0.387)	Data 0.000 (0.137)	Loss 1.1576 (1.4408)	Prec@1 40.000 (50.213)	Prec@5 100.000 (90.638)
Epoch: [0][160/308], lr: 0.00010	Time 0.178 (0.361)	Data 0.000 (0.120)	Loss 0.8070 (1.4377)	Prec@1 60.000 (49.689)	Prec@5 100.000 (90.807)
Epoch: [0][180/308], lr: 0.00010	Time 0.181 (0.341)	Data 0.000 (0.107)	Loss 0.9996 (1.4306)	Prec@1 60.000 (49.282)	Prec@5 100.000 (90.939)
Epoch: [0][200/308], lr: 0.00010	Time 0.177 (0.325)	Data 0.000 (0.096)	Loss 1.9898 (1.4243)	Prec@1 40.000 (49.552)	Prec@5 80.000 (91.045)
Epoch: [0][220/308], lr: 0.00010	Time 0.177 (0.311)	Data 0.000 (0.087)	Loss 0.9368 (1.4079)	Prec@1 80.000 (50.498)	Prec@5 100.000 (91.493)
Epoch: [0][240/308], lr: 0.00010	Time 0.183 (0.300)	Data 0.000 (0.080)	Loss 1.1736 (1.4113)	Prec@1 80.000 (50.124)	Prec@5 100.000 (91.203)
Epoch: [0][260/308], lr: 0.00010	Time 0.178 (0.291)	Data 0.000 (0.074)	Loss 1.4652 (1.4036)	Prec@1 60.000 (50.651)	Prec@5 100.000 (91.341)
Epoch: [0][280/308], lr: 0.00010	Time 0.173 (0.283)	Data 0.000 (0.069)	Loss 1.2358 (1.3994)	Prec@1 40.000 (50.320)	Prec@5 100.000 (91.601)
