Epoch: [0][580/770], lr: 0.00010	Time 0.225 (0.271)	Data 0.000 (0.033)	Loss 1.2552 (1.6299)	Prec@1 50.000 (38.124)	Prec@5 100.000 (90.103)
Epoch: [0][600/770], lr: 0.00010	Time 0.216 (0.269)	Data 0.000 (0.032)	Loss 2.0079 (1.6404)	Prec@1 0.000 (37.604)	Prec@5 100.000 (89.850)
Epoch: [0][620/770], lr: 0.00010	Time 0.224 (0.267)	Data 0.000 (0.031)	Loss 2.5498 (1.6338)	Prec@1 0.000 (37.359)	Prec@5 100.000 (90.097)
Epoch: [0][640/770], lr: 0.00010	Time 0.214 (0.266)	Data 0.000 (0.030)	Loss 1.5263 (1.6243)	Prec@1 50.000 (37.676)	Prec@5 100.000 (90.094)
Epoch: [0][660/770], lr: 0.00010	Time 0.224 (0.265)	Data 0.000 (0.029)	Loss 0.7986 (1.6223)	Prec@1 100.000 (37.746)	Prec@5 100.000 (90.091)
Epoch: [0][680/770], lr: 0.00010	Time 0.222 (0.263)	Data 0.000 (0.028)	Loss 2.1108 (1.6259)	Prec@1 0.000 (37.665)	Prec@5 100.000 (89.941)
Epoch: [0][700/770], lr: 0.00010	Time 0.225 (0.262)	Data 0.000 (0.028)	Loss 1.2169 (1.6245)	Prec@1 50.000 (37.518)	Prec@5 100.000 (89.872)
Epoch: [0][720/770], lr: 0.00010	Time 0.222 (0.261)	Data 0.000 (0.027)	Loss 0.6649 (1.6191)	Prec@1 100.000 (37.795)	Prec@5 100.000 (89.945)
Epoch: [0][740/770], lr: 0.00010	Time 0.216 (0.260)	Data 0.000 (0.026)	Loss 1.2123 (1.6218)	Prec@1 0.000 (37.719)	Prec@5 100.000 (89.811)
Epoch: [0][760/770], lr: 0.00010	Time 0.222 (0.259)	Data 0.000 (0.025)	Loss 1.9408 (1.6195)	Prec@1 50.000 (37.779)	Prec@5 50.000 (89.882)
Epoch: [1][0/770], lr: 0.00010	Time 19.294 (19.294)	Data 18.991 (18.991)	Loss 0.8966 (0.8966)	Prec@1 50.000 (50.000)	Prec@5 100.000 (100.000)
Epoch: [1][20/770], lr: 0.00010	Time 0.224 (1.130)	Data 0.000 (0.904)	Loss 0.6641 (1.2262)	Prec@1 50.000 (47.619)	Prec@5 100.000 (95.238)
Epoch: [1][40/770], lr: 0.00010	Time 0.222 (0.686)	Data 0.000 (0.463)	Loss 2.1449 (1.4875)	Prec@1 0.000 (40.244)	Prec@5 100.000 (93.902)
Epoch: [1][60/770], lr: 0.00010	Time 0.224 (0.534)	Data 0.000 (0.311)	Loss 1.6836 (1.4956)	Prec@1 50.000 (39.344)	Prec@5 100.000 (93.443)
