Epoch: [0][0/308], lr: 0.00010	Time 35.548 (35.548)	Data 19.095 (19.095)	Loss 2.4781 (2.4781)	Prec@1 0.000 (0.000)	Prec@5 40.000 (40.000)
Epoch: [0][20/308], lr: 0.00010	Time 0.523 (2.172)	Data 0.000 (0.909)	Loss 1.2090 (1.9208)	Prec@1 40.000 (30.476)	Prec@5 100.000 (90.476)
Epoch: [0][40/308], lr: 0.00010	Time 0.531 (1.368)	Data 0.000 (0.466)	Loss 1.1303 (1.7643)	Prec@1 40.000 (35.122)	Prec@5 100.000 (87.317)
Epoch: [0][60/308], lr: 0.00010	Time 0.530 (1.091)	Data 0.000 (0.313)	Loss 1.9003 (1.7515)	Prec@1 0.000 (35.738)	Prec@5 100.000 (87.541)
