epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.159,0,22.2606,0,0,0,0,0,0,8.23163,0,0.000663121,0.000663121,0.000663121
2,223.663,0,13.1085,0,0,0,0,0,0,3.92703,0,0.00131662,0.00131662,0.00131662
3,332.629,0,8.2907,0,0,0,0,0,0,3.92262,0,0.00195692,0.00195692,0.00195692
4,440.533,0,4.99058,0,0,0,0,0,0,1.1587,0,0.0019406,0.0019406,0.0019406
5,561.784,0,2.83868,0,0,0,0,0,0,0.10347,0,0.0019208,0.0019208,0.0019208
