Epoch: [2][20/308], lr: 0.00010	Time 0.910 (1.775)	Data 0.000 (0.908)	Loss 1.3646 (1.3360)	Prec@1 20.000 (41.905)	Prec@5 100.000 (93.333)
Epoch: [2][40/308], lr: 0.00010	Time 0.906 (1.345)	Data 0.000 (0.465)	Loss 1.7221 (1.4624)	Prec@1 60.000 (39.512)	Prec@5 80.000 (92.195)
Epoch: [2][60/308], lr: 0.00010	Time 0.918 (1.197)	Data 0.000 (0.313)	Loss 1.2459 (1.4644)	Prec@1 20.000 (40.000)	Prec@5 100.000 (93.115)
Epoch: [2][80/308], lr: 0.00010	Time 0.922 (1.122)	Data 0.000 (0.235)	Loss 1.1991 (1.4696)	Prec@1 80.000 (41.481)	Prec@5 100.000 (92.346)
Epoch: [2][100/308], lr: 0.00010	Time 0.922 (1.077)	Data 0.000 (0.189)	Loss 1.3795 (1.4376)	Prec@1 40.000 (42.376)	Prec@5 100.000 (93.069)
Epoch: [2][120/308], lr: 0.00010	Time 0.922 (1.046)	Data 0.000 (0.158)	Loss 1.2121 (1.4310)	Prec@1 60.000 (41.653)	Prec@5 100.000 (93.058)
Epoch: [2][140/308], lr: 0.00010	Time 0.922 (1.025)	Data 0.000 (0.135)	Loss 2.5629 (1.4491)	Prec@1 20.000 (41.560)	Prec@5 60.000 (92.199)
Epoch: [2][160/308], lr: 0.00010	Time 0.938 (1.008)	Data 0.000 (0.118)	Loss 1.0958 (1.4692)	Prec@1 60.000 (40.994)	Prec@5 100.000 (91.801)
Epoch: [2][180/308], lr: 0.00010	Time 0.922 (0.995)	Data 0.000 (0.105)	Loss 2.4518 (1.4762)	Prec@1 40.000 (40.221)	Prec@5 60.000 (91.492)
Epoch: [2][200/308], lr: 0.00010	Time 0.922 (0.985)	Data 0.000 (0.095)	Loss 1.7281 (1.4958)	Prec@1 20.000 (40.100)	Prec@5 100.000 (91.343)
Epoch: [2][220/308], lr: 0.00010	Time 0.906 (0.977)	Data 0.000 (0.086)	Loss 0.9747 (1.4916)	Prec@1 40.000 (40.181)	Prec@5 100.000 (91.403)
Epoch: [2][240/308], lr: 0.00010	Time 0.937 (0.970)	Data 0.000 (0.079)	Loss 0.7480 (1.4793)	Prec@1 100.000 (40.913)	Prec@5 100.000 (91.535)
Epoch: [2][260/308], lr: 0.00010	Time 0.922 (0.964)	Data 0.000 (0.073)	Loss 2.3856 (1.4806)	Prec@1 20.000 (40.613)	Prec@5 60.000 (91.648)
Epoch: [2][280/308], lr: 0.00010	Time 0.937 (0.959)	Data 0.000 (0.068)	Loss 1.7035 (1.4836)	Prec@1 40.000 (40.641)	Prec@5 100.000 (91.601)
